telegram_id,server,user_id,balance,referral_id,referrals,referral_earnings,total_withdrawals,total_deposits,first_deposit,first_deposit_date,first_deposit_amount,last_interest_date,total_interest,referrer_id,locked,mt5_allocation,last_profit_date,profit_share_rate,last_profit_share
5079683472,main,5079683472,547.29,REF347290ABAA,1,2.0,0.00,0.00,1,2025-08-14,100.0,2025-08-13,545.29,,0.00,0.00,2025-08-19,0.15,
8354967183,main,8354967183,0.00,REF71838A8FEC,0,0.00,0.00,0.00,0,,0.00,2025-08-13,0.00,5079683472,0.00,0.00,,0.15,
